	herb_id	herb_name	herb_type	target	Resource
340	HBIN033621	l-tryptophan	Amino acid	PSMA6	Mahuang
341	HBIN033621	l-tryptophan	Amino acid	SLC6A3	Mahuang
342	HBIN033621	l-tryptophan	Amino acid	PSMC6	Mahuang
343	HBIN033621	l-tryptophan	Amino acid	RPS15A	Mahuang
344	HBIN033621	l-tryptophan	Amino acid	KLK13	Mahuang
345	HBIN033621	l-tryptophan	Amino acid	SLC6A18	Mahuang
346	HBIN033621	l-tryptophan	Amino acid	WARS2	Mahuang
347	HBIN033621	l-tryptophan	Amino acid	CELA2A	Mahuang
348	HBIN033621	l-tryptophan	Amino acid	SLC6A20	Mahuang
349	HBIN033621	l-tryptophan	Amino acid	CMA1	Mahuang
350	HBIN033621	l-tryptophan	Amino acid	KLK12	Mahuang
351	HBIN033621	l-tryptophan	Amino acid	FOLH1	Mahuang
352	HBIN033621	l-tryptophan	Amino acid	C1RL	Mahuang
353	HBIN033621	l-tryptophan	Amino acid	PSMB7	Mahuang
354	HBIN033621	l-tryptophan	Amino acid	RPS11	Mahuang
355	HBIN033621	l-tryptophan	Amino acid	PSMD6	Mahuang
356	HBIN033621	l-tryptophan	Amino acid	LNPEP	Mahuang
357	HBIN033621	l-tryptophan	Amino acid	PSMB6	Mahuang
358	HBIN033621	l-tryptophan	Amino acid	CELA3B	Mahuang
359	HBIN033621	l-tryptophan	Amino acid	TMPRSS13	Mahuang
360	HBIN033621	l-tryptophan	Amino acid	LPA	Mahuang
361	HBIN033621	l-tryptophan	Amino acid	SLC6A5	Mahuang
362	HBIN033621	l-tryptophan	Amino acid	HABP2	Mahuang
363	HBIN033621	l-tryptophan	Amino acid	KLK1	Mahuang
364	HBIN033621	l-tryptophan	Amino acid	C2	Mahuang
365	HBIN033621	l-tryptophan	Amino acid	HGFAC	Mahuang
366	HBIN033621	l-tryptophan	Amino acid	PSMD9	Mahuang
367	HBIN033621	l-tryptophan	Amino acid	SLC6A2	Mahuang
368	HBIN033621	l-tryptophan	Amino acid	ACR	Mahuang
369	HBIN033621	l-tryptophan	Amino acid	SLC7A5	Mahuang
370	HBIN033621	l-tryptophan	Amino acid	PSMC2	Mahuang
371	HBIN033621	l-tryptophan	Amino acid	PSMD14	Mahuang
372	HBIN033621	l-tryptophan	Amino acid	TPSG1	Mahuang
373	HBIN033621	l-tryptophan	Amino acid	LVRN	Mahuang
374	HBIN033621	l-tryptophan	Amino acid	KLK14	Mahuang
375	HBIN033621	l-tryptophan	Amino acid	PSMD1	Mahuang
376	HBIN033621	l-tryptophan	Amino acid	RPS18	Mahuang
377	HBIN033621	l-tryptophan	Amino acid	GZMB	Mahuang
378	HBIN033621	l-tryptophan	Amino acid	KYAT1	Mahuang
379	HBIN033621	l-tryptophan	Amino acid	CTSG	Mahuang
380	HBIN033621	l-tryptophan	Amino acid	PSMD10	Mahuang
381	HBIN033621	l-tryptophan	Amino acid	B2M	Mahuang
382	HBIN033621	l-tryptophan	Amino acid	AZU1	Mahuang
383	HBIN033621	l-tryptophan	Amino acid	F12	Mahuang
